Created on 07-15-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-07-15 02-PM,DASHBTC,0.03576,0.03577,0.03572,0.03574,17.18,0.6139
2018-07-15 01-PM,DASHBTC,0.03572,0.03584,0.03572,0.03576,15.96,0.5709
2018-07-15 12-PM,DASHBTC,0.03599,0.03599,0.0357,0.03572,67.1,2.4
2018-07-15 11-AM,DASHBTC,0.0362,0.03649,0.03599,0.03599,115.12,4.18
2018-07-15 10-AM,DASHBTC,0.03578,0.03625,0.0356,0.0362,120.38,4.33
2018-07-15 09-AM,DASHBTC,0.03524,0.03578,0.0352,0.03578,99.43,3.52
2018-07-15 08-AM,DASHBTC,0.03512,0.03536,0.0351,0.03524,153.14,5.41
2018-07-15 07-AM,DASHBTC,0.03524,0.03536,0.03511,0.03512,20.71,0.7304
2018-07-15 06-AM,DASHBTC,0.0352,0.03536,0.03513,0.03524,94.43,3.34
2018-07-15 05-AM,DASHBTC,0.0352,0.03533,0.03513,0.0352,21.06,0.7416
2018-07-15 04-AM,DASHBTC,0.03529,0.03536,0.03516,0.0352,3.1,0.1094
2018-07-15 03-AM,DASHBTC,0.0352,0.03534,0.0352,0.03529,5.22,0.1843
2018-07-15 02-AM,DASHBTC,0.03522,0.03542,0.03517,0.0352,1.74,0.06147
2018-07-15 01-AM,DASHBTC,0.03549,0.03561,0.03509,0.03522,119.13,4.21
2018-07-15 12-AM,DASHBTC,0.03548,0.03569,0.03546,0.03549,10.62,0.3771
2018-07-14 11-PM,DASHBTC,0.03578,0.03579,0.03547,0.03548,152.29,5.45
2018-07-14 10-PM,DASHBTC,0.03549,0.03579,0.03549,0.03578,16.4,0.5849
2018-07-14 09-PM,DASHBTC,0.03559,0.03579,0.03541,0.03549,56.98,2.03
2018-07-14 08-PM,DASHBTC,0.03558,0.03579,0.03552,0.03559,12.71,0.4542
2018-07-14 07-PM,DASHBTC,0.03559,0.03571,0.03557,0.03558,27.96,0.996
2018-07-14 06-PM,DASHBTC,0.03589,0.03594,0.03559,0.03559,330.3,11.82
2018-07-14 05-PM,DASHBTC,0.03599,0.036,0.03589,0.03589,118.52,4.26
2018-07-14 04-PM,DASHBTC,0.03571,0.03599,0.03571,0.03599,52.61,1.89
