Created on 07-15-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-07-15 02-PM,ETCBTC,0.002612,0.002612,0.002609,0.002611,505.37,1.32
2018-07-15 01-PM,ETCBTC,0.00262,0.00262,0.002605,0.002612,371.37,0.9685
2018-07-15 12-PM,ETCBTC,0.002622,0.002627,0.002611,0.00262,646.73,1.69
2018-07-15 11-AM,ETCBTC,0.00262,0.002623,0.002615,0.002622,832.89,2.18
2018-07-15 10-AM,ETCBTC,0.002612,0.002637,0.002612,0.00262,789.13,2.07
2018-07-15 09-AM,ETCBTC,0.002616,0.002622,0.002612,0.002612,378.29,0.9901
2018-07-15 08-AM,ETCBTC,0.002613,0.00263,0.002605,0.002616,2584.03,6.76
2018-07-15 07-AM,ETCBTC,0.00261,0.002617,0.00261,0.002613,63.29,0.1654
2018-07-15 06-AM,ETCBTC,0.002609,0.002618,0.002609,0.00261,924.63,2.42
2018-07-15 05-AM,ETCBTC,0.00262,0.002622,0.002605,0.002609,255.37,0.6675
2018-07-15 04-AM,ETCBTC,0.002623,0.00263,0.00261,0.00262,1312.09,3.44
2018-07-15 03-AM,ETCBTC,0.002612,0.002628,0.002605,0.002623,269.16,0.7048
2018-07-15 02-AM,ETCBTC,0.002607,0.002616,0.002605,0.002612,255.22,0.666
2018-07-15 01-AM,ETCBTC,0.002608,0.002619,0.002605,0.002607,255.57,0.6666
2018-07-15 12-AM,ETCBTC,0.00263,0.00263,0.002602,0.002608,1624.41,4.24
2018-07-14 11-PM,ETCBTC,0.002627,0.00263,0.002615,0.00263,77.06,0.2019
2018-07-14 10-PM,ETCBTC,0.002638,0.002638,0.002611,0.002627,522.66,1.37
2018-07-14 09-PM,ETCBTC,0.00263,0.002639,0.002626,0.002638,20.01,0.05262
2018-07-14 08-PM,ETCBTC,0.002592,0.002652,0.002592,0.00263,4396.89,11.59
2018-07-14 07-PM,ETCBTC,0.0026,0.002617,0.00259,0.002592,1362.66,3.55
2018-07-14 06-PM,ETCBTC,0.002603,0.002611,0.00259,0.0026,918.37,2.38
2018-07-14 05-PM,ETCBTC,0.002602,0.002608,0.002592,0.002603,724.06,1.88
2018-07-14 04-PM,ETCBTC,0.002606,0.002611,0.0026,0.002602,438.44,1.14
2018-07-14 03-PM,ETCBTC,0.002611,0.002614,0.0026,0.002606,599.06,1.56
2018-07-14 02-PM,ETCBTC,0.002607,0.002611,0.002598,0.002611,826.16,2.15
2018-07-14 01-PM,ETCBTC,0.002615,0.002615,0.002584,0.002607,3693.98,9.59
2018-07-14 12-PM,ETCBTC,0.002603,0.002615,0.002603,0.002615,895.65,2.34
2018-07-14 11-AM,ETCBTC,0.002609,0.002617,0.0026,0.002603,1890.83,4.94
2018-07-14 10-AM,ETCBTC,0.002608,0.00261,0.002595,0.002609,614.48,1.6
2018-07-14 09-AM,ETCBTC,0.002591,0.002618,0.002591,0.002608,353.1,0.9191
2018-07-14 08-AM,ETCBTC,0.0026,0.002603,0.00259,0.002591,113.31,0.2941
2018-07-14 07-AM,ETCBTC,0.00259,0.0026,0.002589,0.0026,120.22,0.3119
2018-07-14 06-AM,ETCBTC,0.0026,0.002608,0.002589,0.00259,345.01,0.8962
2018-07-14 05-AM,ETCBTC,0.002612,0.002612,0.0026,0.0026,434.45,1.13
2018-07-14 04-AM,ETCBTC,0.0026,0.002612,0.0026,0.002612,153.11,0.3988
2018-07-14 03-AM,ETCBTC,0.002611,0.002614,0.0026,0.0026,560.17,1.46
2018-07-14 02-AM,ETCBTC,0.002629,0.00264,0.002611,0.002611,138.03,0.3617
2018-07-14 01-AM,ETCBTC,0.00262,0.002641,0.002611,0.002629,2564.8,6.76
2018-07-14 12-AM,ETCBTC,0.002608,0.002629,0.002608,0.00262,260.52,0.6825
2018-07-13 11-PM,ETCBTC,0.002616,0.002626,0.002608,0.002608,5280.0,13.79
2018-07-13 10-PM,ETCBTC,0.002616,0.002628,0.002598,0.002616,939.0,2.46
2018-07-13 09-PM,ETCBTC,0.002598,0.002625,0.002598,0.002616,1827.98,4.77
2018-07-13 08-PM,ETCBTC,0.002639,0.002753,0.002598,0.002598,22153.52,59.6
2018-07-13 07-PM,ETCBTC,0.002654,0.002654,0.002625,0.002639,4981.91,13.12
2018-07-13 06-PM,ETCBTC,0.002647,0.002669,0.002647,0.002654,1825.03,4.85
2018-07-13 05-PM,ETCBTC,0.002654,0.002659,0.002647,0.002647,322.46,0.8569
2018-07-13 04-PM,ETCBTC,0.002647,0.002662,0.002647,0.002654,833.01,2.21
2018-07-13 03-PM,ETCBTC,0.002661,0.002661,0.002644,0.002647,289.67,0.7677
2018-07-13 02-PM,ETCBTC,0.002652,0.002661,0.002645,0.002661,2195.99,5.82
2018-07-13 01-PM,ETCBTC,0.002654,0.002664,0.00264,0.002652,2997.19,7.96
2018-07-13 12-PM,ETCBTC,0.002664,0.002664,0.002645,0.002654,3919.7,10.42
2018-07-13 11-AM,ETCBTC,0.002655,0.002664,0.002647,0.002664,5876.53,15.63
2018-07-13 10-AM,ETCBTC,0.002647,0.002664,0.002645,0.002655,3543.68,9.43
2018-07-13 09-AM,ETCBTC,0.002651,0.002663,0.00264,0.002647,638.34,1.69
2018-07-13 08-AM,ETCBTC,0.002639,0.002666,0.002639,0.002651,1548.07,4.1
2018-07-13 07-AM,ETCBTC,0.002651,0.002652,0.002639,0.002639,656.93,1.74
2018-07-13 06-AM,ETCBTC,0.002659,0.002667,0.002643,0.002651,1596.63,4.23
2018-07-13 05-AM,ETCBTC,0.002653,0.002667,0.002653,0.002659,108.54,0.2888
2018-07-13 04-AM,ETCBTC,0.002665,0.00268,0.002653,0.002653,6481.31,17.35
2018-07-13 03-AM,ETCBTC,0.002663,0.002677,0.002663,0.002665,1671.72,4.46
2018-07-13 02-AM,ETCBTC,0.002668,0.002674,0.002661,0.002663,2040.14,5.44
2018-07-13 01-AM,ETCBTC,0.002661,0.002683,0.002661,0.002668,11031.99,29.53
2018-07-13 12-AM,ETCBTC,0.002616,0.00268,0.002616,0.002661,2756.42,7.34
2018-07-12 11-PM,ETCBTC,0.002588,0.002634,0.002581,0.002616,2224.05,5.79
2018-07-12 10-PM,ETCBTC,0.002596,0.002607,0.002585,0.002588,724.62,1.88
2018-07-12 09-PM,ETCBTC,0.002588,0.002602,0.002588,0.002596,65.09,0.1689
2018-07-12 08-PM,ETCBTC,0.00259,0.002608,0.002585,0.002588,614.19,1.59
2018-07-12 07-PM,ETCBTC,0.002592,0.002609,0.002585,0.00259,238.56,0.6201
2018-07-12 06-PM,ETCBTC,0.002595,0.002611,0.00259,0.002592,333.88,0.8669
2018-07-12 05-PM,ETCBTC,0.00261,0.002618,0.002587,0.002595,878.37,2.29
2018-07-12 04-PM,ETCBTC,0.002589,0.002617,0.002589,0.00261,5842.29,15.26
