Created on 07-15-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-07-15 02-PM,LSKBTC,0.0007882,0.0007952,0.0007882,0.0007939,560.87,0.4428
2018-07-15 01-PM,LSKBTC,0.0007893,0.0007952,0.0007882,0.0007882,687.01,0.5459
2018-07-15 12-PM,LSKBTC,0.0007893,0.0007893,0.0007893,0.0007893,6.79,0.005357
2018-07-15 11-AM,LSKBTC,0.000788,0.0007893,0.000788,0.0007893,36.65,0.02889
2018-07-15 10-AM,LSKBTC,0.0007849,0.000788,0.00078,0.000788,1066.34,0.8321
2018-07-15 09-AM,LSKBTC,0.0007789,0.0007849,0.0007789,0.0007849,1414.61,1.1
2018-07-15 08-AM,LSKBTC,0.0007789,0.0007789,0.0007789,0.0007789,0.0,0.0
2018-07-15 07-AM,LSKBTC,0.0007789,0.0007789,0.0007789,0.0007789,0.7177,0.000559
2018-07-15 06-AM,LSKBTC,0.0007807,0.0007807,0.0007789,0.0007789,413.17,0.3218
2018-07-15 05-AM,LSKBTC,0.0007781,0.0007807,0.0007781,0.0007807,2.26,0.001764
2018-07-15 04-AM,LSKBTC,0.0007781,0.0007781,0.0007781,0.0007781,0.0,0.0
2018-07-15 03-AM,LSKBTC,0.000779,0.000779,0.0007781,0.0007781,1268.44,0.9881
2018-07-15 02-AM,LSKBTC,0.0007857,0.0007857,0.000779,0.000779,28.46,0.02218
2018-07-15 01-AM,LSKBTC,0.000786,0.000786,0.0007837,0.0007857,0.3194,0.0002506
2018-07-15 12-AM,LSKBTC,0.0007845,0.000786,0.0007799,0.000786,260.81,0.2038
2018-07-14 11-PM,LSKBTC,0.00078,0.0007845,0.00078,0.0007845,0.1986,0.0001558
2018-07-14 10-PM,LSKBTC,0.0007801,0.0007837,0.00078,0.00078,304.11,0.2383
2018-07-14 09-PM,LSKBTC,0.0007783,0.0007845,0.0007783,0.0007801,104.04,0.08151
2018-07-14 08-PM,LSKBTC,0.0007878,0.0007878,0.0007783,0.0007783,702.5,0.5472
2018-07-14 07-PM,LSKBTC,0.0007876,0.0007878,0.0007808,0.0007878,123.74,0.09663
2018-07-14 06-PM,LSKBTC,0.0007794,0.0007876,0.0007794,0.0007876,42.26,0.03328
2018-07-14 05-PM,LSKBTC,0.0007798,0.0007798,0.0007794,0.0007794,25.0,0.01949
2018-07-14 04-PM,LSKBTC,0.0007798,0.0007798,0.0007798,0.0007798,0.0,0.0
2018-07-14 03-PM,LSKBTC,0.0007846,0.0007876,0.0007798,0.0007798,130.59,0.1019
2018-07-14 02-PM,LSKBTC,0.0007826,0.0007846,0.0007826,0.0007846,86.89,0.06814
2018-07-14 01-PM,LSKBTC,0.0007797,0.0007826,0.0007797,0.0007826,12.7,0.009935
2018-07-14 12-PM,LSKBTC,0.0007759,0.0007797,0.0007759,0.0007797,5.7,0.004444
2018-07-14 11-AM,LSKBTC,0.0007849,0.0007849,0.0007759,0.0007759,838.33,0.6526
2018-07-14 10-AM,LSKBTC,0.000787,0.000787,0.0007772,0.0007849,73.88,0.05793
2018-07-14 09-AM,LSKBTC,0.0007791,0.0007872,0.0007768,0.000787,60.13,0.04687
2018-07-14 08-AM,LSKBTC,0.0007873,0.0007873,0.0007791,0.0007791,2.83,0.002203
2018-07-14 07-AM,LSKBTC,0.0007873,0.0007873,0.0007873,0.0007873,0.0,0.0
2018-07-14 06-AM,LSKBTC,0.0007816,0.0007873,0.0007816,0.0007873,833.06,0.653
2018-07-14 05-AM,LSKBTC,0.000783,0.000783,0.0007816,0.0007816,0.6845,0.000535
2018-07-14 04-AM,LSKBTC,0.0007844,0.0007844,0.0007768,0.000783,465.45,0.3616
2018-07-14 03-AM,LSKBTC,0.0007778,0.0007847,0.0007777,0.0007844,73.48,0.05753
2018-07-14 02-AM,LSKBTC,0.0007781,0.0007808,0.0007767,0.0007778,106.25,0.08261
2018-07-14 01-AM,LSKBTC,0.000778,0.0007781,0.000778,0.0007781,0.5451,0.0004242
