Created on 07-15-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-07-15 02-PM,LTCBTC,0.01216,0.01216,0.01213,0.01215,252.91,3.07
2018-07-15 01-PM,LTCBTC,0.01217,0.01218,0.01214,0.01216,108.53,1.32
2018-07-15 12-PM,LTCBTC,0.0122,0.01221,0.01216,0.01217,44.55,0.5426
2018-07-15 11-AM,LTCBTC,0.01222,0.01226,0.01219,0.0122,157.73,1.93
2018-07-15 10-AM,LTCBTC,0.01221,0.01228,0.0122,0.01222,274.56,3.35
2018-07-15 09-AM,LTCBTC,0.01227,0.01227,0.01219,0.01221,104.34,1.28
2018-07-15 08-AM,LTCBTC,0.01226,0.01228,0.01221,0.01227,371.43,4.55
2018-07-15 07-AM,LTCBTC,0.01226,0.01227,0.01226,0.01226,35.74,0.4382
2018-07-15 06-AM,LTCBTC,0.01224,0.01229,0.01224,0.01226,202.66,2.48
2018-07-15 05-AM,LTCBTC,0.01226,0.01226,0.01223,0.01224,16.28,0.1993
2018-07-15 04-AM,LTCBTC,0.01228,0.01229,0.01225,0.01226,248.22,3.05
2018-07-15 03-AM,LTCBTC,0.0123,0.01231,0.01226,0.01228,87.45,1.07
2018-07-15 02-AM,LTCBTC,0.01212,0.0123,0.0121,0.0123,319.37,3.9
2018-07-15 01-AM,LTCBTC,0.01218,0.01218,0.01207,0.01212,354.78,4.3
2018-07-15 12-AM,LTCBTC,0.01218,0.01221,0.01217,0.01218,103.23,1.26
2018-07-14 11-PM,LTCBTC,0.01217,0.01221,0.01216,0.01218,74.21,0.9049
2018-07-14 10-PM,LTCBTC,0.01221,0.01222,0.01216,0.01217,266.8,3.25
2018-07-14 09-PM,LTCBTC,0.01226,0.01226,0.01219,0.01221,181.77,2.22
2018-07-14 08-PM,LTCBTC,0.01226,0.01226,0.0122,0.01226,186.81,2.29
2018-07-14 07-PM,LTCBTC,0.01221,0.01229,0.01221,0.01226,259.54,3.18
2018-07-14 06-PM,LTCBTC,0.01221,0.01225,0.0122,0.01221,261.72,3.2
2018-07-14 05-PM,LTCBTC,0.01222,0.01223,0.01218,0.01221,549.67,6.71
2018-07-14 04-PM,LTCBTC,0.01217,0.01224,0.01217,0.01222,647.39,7.9
2018-07-14 03-PM,LTCBTC,0.01219,0.01223,0.01216,0.01217,464.51,5.67
2018-07-14 02-PM,LTCBTC,0.01218,0.01223,0.01216,0.01219,277.16,3.38
2018-07-14 01-PM,LTCBTC,0.01221,0.01222,0.01218,0.01218,273.23,3.33
2018-07-14 12-PM,LTCBTC,0.01219,0.01221,0.01216,0.01221,297.5,3.62
2018-07-14 11-AM,LTCBTC,0.01221,0.01223,0.01217,0.01219,610.14,7.44
2018-07-14 10-AM,LTCBTC,0.01223,0.01223,0.0122,0.01221,152.31,1.86
2018-07-14 09-AM,LTCBTC,0.01228,0.01229,0.0122,0.01223,288.71,3.53
2018-07-14 08-AM,LTCBTC,0.01223,0.01229,0.01223,0.01228,260.1,3.19
2018-07-14 07-AM,LTCBTC,0.01222,0.01227,0.01221,0.01223,141.34,1.73
2018-07-14 06-AM,LTCBTC,0.01225,0.01227,0.0122,0.01222,97.26,1.19
2018-07-14 05-AM,LTCBTC,0.01222,0.01225,0.01222,0.01225,50.24,0.6141
2018-07-14 04-AM,LTCBTC,0.01224,0.01226,0.0122,0.01222,160.91,1.97
