Created on 07-15-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-07-15 02-PM,XMRBTC,0.01955,0.01956,0.01947,0.01947,34.43,0.6718
2018-07-15 01-PM,XMRBTC,0.01952,0.01957,0.01949,0.01955,133.78,2.61
2018-07-15 12-PM,XMRBTC,0.0194,0.01952,0.0194,0.01952,426.1,8.3
2018-07-15 11-AM,XMRBTC,0.01939,0.0195,0.01935,0.0194,384.67,7.47
2018-07-15 10-AM,XMRBTC,0.01946,0.01949,0.01933,0.01939,359.42,6.97
2018-07-15 09-AM,XMRBTC,0.01931,0.0195,0.01928,0.01946,277.52,5.39
2018-07-15 08-AM,XMRBTC,0.01948,0.01953,0.0192,0.01931,819.59,15.81
2018-07-15 07-AM,XMRBTC,0.0195,0.01956,0.01946,0.01948,98.28,1.92
2018-07-15 06-AM,XMRBTC,0.01949,0.01958,0.01945,0.0195,247.87,4.84
2018-07-15 05-AM,XMRBTC,0.01958,0.01959,0.01949,0.01949,123.5,2.41
2018-07-15 04-AM,XMRBTC,0.01949,0.0196,0.01949,0.01958,80.98,1.58
2018-07-15 03-AM,XMRBTC,0.01954,0.01963,0.01946,0.01949,80.15,1.56
2018-07-15 02-AM,XMRBTC,0.01958,0.01964,0.01952,0.01954,292.78,5.73
2018-07-15 01-AM,XMRBTC,0.01962,0.01965,0.01955,0.01958,459.06,9.01
2018-07-15 12-AM,XMRBTC,0.01966,0.01967,0.0196,0.01962,136.67,2.68
2018-07-14 11-PM,XMRBTC,0.01963,0.0197,0.01961,0.01966,74.52,1.46
2018-07-14 10-PM,XMRBTC,0.01965,0.01971,0.01961,0.01963,48.94,0.9612
2018-07-14 09-PM,XMRBTC,0.0197,0.01973,0.01961,0.01965,153.67,3.02
2018-07-14 08-PM,XMRBTC,0.01943,0.01975,0.01938,0.0197,651.82,12.76
2018-07-14 07-PM,XMRBTC,0.01939,0.0195,0.01939,0.01943,182.01,3.54
2018-07-14 06-PM,XMRBTC,0.01939,0.01943,0.0193,0.01939,426.05,8.25
2018-07-14 05-PM,XMRBTC,0.01935,0.01944,0.0193,0.01939,1125.21,21.79
2018-07-14 04-PM,XMRBTC,0.01947,0.0196,0.01931,0.01935,1785.92,34.73
2018-07-14 03-PM,XMRBTC,0.01966,0.0197,0.01947,0.01947,1220.42,23.88
2018-07-14 02-PM,XMRBTC,0.01959,0.01966,0.01958,0.01966,94.41,1.85
2018-07-14 01-PM,XMRBTC,0.01954,0.01961,0.01949,0.01959,201.96,3.95
2018-07-14 12-PM,XMRBTC,0.01954,0.0196,0.01949,0.01954,80.03,1.56
2018-07-14 11-AM,XMRBTC,0.01954,0.01956,0.01947,0.01954,64.09,1.25
2018-07-14 10-AM,XMRBTC,0.0195,0.01959,0.0195,0.01954,34.09,0.6659
2018-07-14 09-AM,XMRBTC,0.01967,0.01967,0.0195,0.0195,220.71,4.31
2018-07-14 08-AM,XMRBTC,0.01959,0.01967,0.01951,0.01967,204.25,3.99
2018-07-14 07-AM,XMRBTC,0.0196,0.01961,0.01951,0.01959,76.5,1.5
2018-07-14 06-AM,XMRBTC,0.01952,0.01961,0.01948,0.0196,105.59,2.06
2018-07-14 05-AM,XMRBTC,0.01942,0.01965,0.01942,0.01952,515.68,10.09
2018-07-14 04-AM,XMRBTC,0.01948,0.01951,0.01942,0.01942,44.9,0.8733
2018-07-14 03-AM,XMRBTC,0.01949,0.01956,0.01945,0.01948,63.74,1.24
2018-07-14 02-AM,XMRBTC,0.01953,0.01954,0.01945,0.01949,75.77,1.48
2018-07-14 01-AM,XMRBTC,0.01949,0.01954,0.01945,0.01953,88.55,1.73
2018-07-14 12-AM,XMRBTC,0.01954,0.01963,0.01946,0.01949,272.16,5.31
2018-07-13 11-PM,XMRBTC,0.01947,0.01962,0.01947,0.01954,155.0,3.03
2018-07-13 10-PM,XMRBTC,0.01953,0.01955,0.01944,0.01947,208.23,4.06
2018-07-13 09-PM,XMRBTC,0.01973,0.01973,0.01951,0.01953,203.87,4.0
2018-07-13 08-PM,XMRBTC,0.0195,0.01979,0.0195,0.01973,654.47,12.82
2018-07-13 07-PM,XMRBTC,0.01971,0.01973,0.0195,0.0195,589.8,11.57
2018-07-13 06-PM,XMRBTC,0.01976,0.01976,0.01969,0.01971,290.34,5.72
