Created on 07-15-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-07-15 02-PM,XRPBTC,7.006e-05,7.019e-05,7.005e-05,7.016e-05,41943.76,2.94
2018-07-15 01-PM,XRPBTC,7.006e-05,7.015e-05,7.005e-05,7.006e-05,417122.59,29.24
2018-07-15 12-PM,XRPBTC,7.01e-05,7.01e-05,7.003e-05,7.006e-05,163896.34,11.49
2018-07-15 11-AM,XRPBTC,7.005e-05,7.01e-05,7.003e-05,7.01e-05,584201.61,40.95
2018-07-15 10-AM,XRPBTC,6.997e-05,7.005e-05,6.993e-05,7.005e-05,957930.88,67.1
2018-07-15 09-AM,XRPBTC,7.007e-05,7.008e-05,6.994e-05,6.997e-05,96893.77,6.78
2018-07-15 08-AM,XRPBTC,6.983e-05,7.008e-05,6.951e-05,7.007e-05,186610.45,13.02
2018-07-15 07-AM,XRPBTC,6.988e-05,6.999e-05,6.981e-05,6.983e-05,65288.11,4.56
2018-07-15 06-AM,XRPBTC,6.996e-05,7.008e-05,6.977e-05,6.988e-05,60284.29,4.22
2018-07-15 05-AM,XRPBTC,6.996e-05,7.008e-05,6.996e-05,6.996e-05,32134.39,2.25
2018-07-15 04-AM,XRPBTC,7.001e-05,7.008e-05,6.992e-05,6.996e-05,143883.94,10.07
2018-07-15 03-AM,XRPBTC,6.993e-05,7.008e-05,6.988e-05,7.001e-05,43227.11,3.03
2018-07-15 02-AM,XRPBTC,6.995e-05,7.017e-05,6.985e-05,6.993e-05,42302.48,2.96
2018-07-15 01-AM,XRPBTC,7.0e-05,7.007e-05,6.995e-05,6.995e-05,19970.25,1.4
2018-07-15 12-AM,XRPBTC,7.013e-05,7.024e-05,6.999e-05,7.0e-05,16242.66,1.14
2018-07-14 11-PM,XRPBTC,7.007e-05,7.027e-05,7.007e-05,7.013e-05,8904.28,0.6244
2018-07-14 10-PM,XRPBTC,7.024e-05,7.036e-05,7.005e-05,7.007e-05,19703.86,1.38
2018-07-14 09-PM,XRPBTC,7.035e-05,7.036e-05,7.018e-05,7.024e-05,53752.35,3.78
2018-07-14 08-PM,XRPBTC,7.003e-05,7.036e-05,6.991e-05,7.035e-05,191228.32,13.43
2018-07-14 07-PM,XRPBTC,7.002e-05,7.021e-05,7.0e-05,7.003e-05,22908.18,1.61
2018-07-14 06-PM,XRPBTC,7.023e-05,7.023e-05,7.002e-05,7.002e-05,159850.3,11.2
2018-07-14 05-PM,XRPBTC,7.012e-05,7.024e-05,7.01e-05,7.023e-05,11044.85,0.7745
2018-07-14 04-PM,XRPBTC,6.996e-05,7.025e-05,6.985e-05,7.012e-05,254534.21,17.83
2018-07-14 03-PM,XRPBTC,6.996e-05,7.003e-05,6.981e-05,6.996e-05,56347.4,3.94
2018-07-14 02-PM,XRPBTC,7.001e-05,7.005e-05,6.989e-05,6.996e-05,60677.95,4.25
2018-07-14 01-PM,XRPBTC,7.001e-05,7.006e-05,6.987e-05,7.001e-05,48404.6,3.39
2018-07-14 12-PM,XRPBTC,6.989e-05,7.007e-05,6.985e-05,7.001e-05,54241.39,3.79
2018-07-14 11-AM,XRPBTC,7.002e-05,7.007e-05,6.985e-05,6.989e-05,49634.37,3.47
2018-07-14 10-AM,XRPBTC,7.003e-05,7.014e-05,6.992e-05,7.002e-05,15157.43,1.06
2018-07-14 09-AM,XRPBTC,7.006e-05,7.018e-05,6.973e-05,7.003e-05,167845.23,11.73
2018-07-14 08-AM,XRPBTC,7.01e-05,7.014e-05,7.006e-05,7.006e-05,6386.9,0.4477
2018-07-14 07-AM,XRPBTC,7.02e-05,7.02e-05,7.01e-05,7.01e-05,22394.97,1.57
2018-07-14 06-AM,XRPBTC,7.027e-05,7.027e-05,7.012e-05,7.02e-05,4915.63,0.3451
2018-07-14 05-AM,XRPBTC,7.014e-05,7.028e-05,7.014e-05,7.027e-05,34964.13,2.46
2018-07-14 04-AM,XRPBTC,7.016e-05,7.021e-05,7.011e-05,7.014e-05,24617.91,1.73
2018-07-14 03-AM,XRPBTC,7.023e-05,7.029e-05,7.016e-05,7.016e-05,21266.92,1.49
2018-07-14 02-AM,XRPBTC,7.028e-05,7.029e-05,7.016e-05,7.023e-05,19310.57,1.36
2018-07-14 01-AM,XRPBTC,7.004e-05,7.03e-05,7.004e-05,7.028e-05,141874.13,9.95
2018-07-14 12-AM,XRPBTC,7.04e-05,7.05e-05,6.99e-05,7.004e-05,162801.41,11.42
2018-07-13 11-PM,XRPBTC,7.027e-05,7.052e-05,7.011e-05,7.04e-05,87689.45,6.16
2018-07-13 10-PM,XRPBTC,7.01e-05,7.03e-05,7.003e-05,7.027e-05,93392.68,6.55
2018-07-13 09-PM,XRPBTC,7.052e-05,7.063e-05,7.009e-05,7.01e-05,123654.7,8.7
2018-07-13 08-PM,XRPBTC,7.03e-05,7.101e-05,7.026e-05,7.052e-05,324046.53,22.9
2018-07-13 07-PM,XRPBTC,7.043e-05,7.052e-05,7.012e-05,7.03e-05,67957.81,4.78
2018-07-13 06-PM,XRPBTC,7.014e-05,7.05e-05,7.01e-05,7.043e-05,98309.23,6.9
2018-07-13 05-PM,XRPBTC,7.015e-05,7.031e-05,7.014e-05,7.014e-05,71355.87,5.01
2018-07-13 04-PM,XRPBTC,7.046e-05,7.047e-05,7.014e-05,7.015e-05,179539.99,12.61
2018-07-13 03-PM,XRPBTC,7.053e-05,7.058e-05,7.045e-05,7.046e-05,79455.73,5.61
2018-07-13 02-PM,XRPBTC,7.063e-05,7.063e-05,7.045e-05,7.053e-05,88995.26,6.28
2018-07-13 01-PM,XRPBTC,7.077e-05,7.091e-05,7.06e-05,7.063e-05,23756.44,1.68
2018-07-13 12-PM,XRPBTC,7.071e-05,7.088e-05,7.065e-05,7.077e-05,111721.11,7.91
2018-07-13 11-AM,XRPBTC,7.061e-05,7.078e-05,7.053e-05,7.071e-05,86904.47,6.14
2018-07-13 10-AM,XRPBTC,7.056e-05,7.066e-05,7.052e-05,7.061e-05,25755.52,1.82
2018-07-13 09-AM,XRPBTC,7.061e-05,7.07e-05,7.055e-05,7.056e-05,29982.38,2.12
2018-07-13 08-AM,XRPBTC,7.078e-05,7.08e-05,7.061e-05,7.061e-05,7077.55,0.5008
